"","SCS_STUDENT","AGE","C99_BEST_PROGRAM","ACPG_DESC","SEC_LOCATION","LOC_DESC","AY","AY_HELPER","CITY"
"1",1,16,"CCP","Career and College Prep","HA","Hazelton","2014-2015","2013-2014","Hazelton"
"2",1,16,"CCP","Career and College Prep","HA","Hazelton","2014-2015","2013-2014","Sik-E-Dakh"
"3",1,18,"UC","University Credit Year 1","PR","Prince Rupert","2014-2015","2013-2014","Prince Rupert"
"4",1,19,"PCOOKAP1","Professional Cook Apprentice - Level 1","TE","Terrace","2014-2015","2013-2014","Gitsequkla"
"5",1,19,"PCOOKAP1","Professional Cook Apprentice - Level 1","TE","Terrace","2014-2015","2013-2014","Terrace"
"6",1,18,"NURS","Nursing","TE","Terrace","2014-2015","2013-2014","Terrace"
"7",1,18,"CARPF","Carpenter Foundation","TE","Terrace","2014-2015","2013-2014","Terrace"
"8",1,18,"UC","University Credit Year 1","PR","Prince Rupert","2014-2015","2013-2014","Prince Rupert"
"9",1,17,"CCP","Career and College Prep","PR","Prince Rupert","2014-2015","2013-2014","Prince Rupert"
"10",1,19,"CCP","Career and College Prep","TE","Terrace","2014-2015","2013-2014","Terrace"
"11",1,19,"UC","University Credit Year 1","TE","Terrace","2014-2015","2013-2014","Terrace"
"12",1,19,"UC","University Credit Year 1","TE","Terrace","2014-2015","2013-2014","Terrace"
"13",1,19,"ACE","Applied Coastal Ecology Year 1","PR","Prince Rupert","2014-2015","2013-2014","Prince Rupert"
"14",1,18,"UC","University Credit Year 1","TE","Terrace","2014-2015","2013-2014","Terrace"
"15",1,18,"SSW","Social Service Worker","TE","Terrace","2014-2015","2013-2014","Terrace"
"16",1,18,"UC","University Credit Year 1","TE","Terrace","2014-2015","2013-2014","Terrace"
"17",1,19,"CCP","Career and College Prep","TE","Terrace","2014-2015","2013-2014","Terrace"
"18",1,18,"UC","University Credit Year 1","PR","Prince Rupert","2014-2015","2013-2014","Prince Rupert"
"19",1,17,"UC","University Credit Year 1","PR","Prince Rupert","2014-2015","2013-2014","Prince Rupert"
"20",1,18,"UC","University Credit Year 1","PR","Prince Rupert","2014-2015","2013-2014","Prince Rupert"
"21",1,18,"UC","University Credit Year 1","SM","Smithers","2014-2015","2013-2014","Smithers"
"22",1,18,"ACCOOK1","ACE-IT Professional Cook 1","TE","Terrace","2014-2015","2013-2014","Terrace"
"23",1,18,"ACCOOK1","ACE-IT Professional Cook 1","TE","Terrace","2014-2015","2013-2014","Smithers"
"24",1,17,"CCP","Career and College Prep","HO","Houston","2014-2015","2013-2014",NA
"25",1,18,"ACCOOK1","ACE-IT Professional Cook 1","TE","Terrace","2014-2015","2013-2014","Terrace"
"26",1,18,"UC","University Credit Year 1","PR","Prince Rupert","2014-2015","2013-2014","Prince Rupert"
"27",1,19,"UC","University Credit Year 1","TE","Terrace","2014-2015","2013-2014","Terrace"
"28",1,18,"UC","University Credit Year 1","PR","Prince Rupert","2014-2015","2013-2014","Prince Rupert"
"29",1,19,"CCP","Career and College Prep","PR","Prince Rupert","2014-2015","2013-2014","Prince Rupert"
"30",1,18,"BADM","Business Administration Year 1","PR","Prince Rupert","2014-2015","2013-2014","Prince Rupert"
"31",1,18,"NURS","Nursing","TE","Terrace","2014-2015","2013-2014","Terrace"
"32",1,18,"UC","University Credit Year 1","PR","Prince Rupert","2014-2015","2013-2014","Prince Rupert"
"33",1,18,"UC","University Credit Year 1","PR","Prince Rupert","2014-2015","2013-2014","Prince Rupert"
"34",1,19,"UC","University Credit Year 1","PR","Prince Rupert","2014-2015","2013-2014","Prince Rupert"
"35",1,19,"SSW","Social Service Worker","TE","Terrace","2014-2015","2013-2014","Prince Rupert"
"36",1,19,"UC","University Credit Year 1","PR","Prince Rupert","2014-2015","2013-2014","Prince Rupert"
"37",1,18,"UC","University Credit Year 1","TE","Terrace","2014-2015","2013-2014","Terrace"
"38",1,19,"UC","University Credit Year 1","PR","Prince Rupert","2014-2015","2013-2014","Prince Rupert"
"39",1,16,"CCP","Career and College Prep","HA","Hazelton","2014-2015","2013-2014","Hazelton"
"40",1,17,"CE","Continuing Education","TE","Terrace","2014-2015","2013-2014","Terrace"
"41",1,18,"CCP","Career and College Prep","SM","Smithers","2014-2015","2013-2014","Telkwa"
"42",1,16,"CCP","Career and College Prep","HA","Hazelton","2014-2015","2013-2014","Hazelton"
"43",1,18,"CARPF","Carpenter Foundation","TE","Terrace","2014-2015","2013-2014","Terrace"
"44",1,18,"CARPF","Carpenter Foundation","TE","Terrace","2014-2015","2013-2014","Terrace"
"45",1,18,"UC","University Credit Year 1","MO","Moricetown","2014-2015","2013-2014","Morricetown"
"46",1,19,"CCP","Career and College Prep","MO","Moricetown","2014-2015","2013-2014","Smithers"
"47",1,18,"CCP","Career and College Prep","MO","Moricetown","2014-2015","2013-2014","Smithers"
"48",1,18,"CCP","Career and College Prep","TE","Terrace","2014-2015","2013-2014","Terrace"
"49",1,18,"NURS","Nursing","TE","Terrace","2014-2015","2013-2014","Terrace"
"50",1,18,"HEOT","Heavy Equipment Operator Technician","TE","Terrace","2014-2015","2013-2014","Terrace"
"51",1,18,"UC","University Credit Year 1","PR","Prince Rupert","2014-2015","2013-2014","Prince Rupert"
"52",1,19,"NURS","Nursing","TE","Terrace","2014-2015","2013-2014","Prince Rupert"
"53",1,18,"UC","University Credit Year 1","TE","Terrace","2014-2015","2013-2014","Kitwanga"
"54",1,17,"CCP","Career and College Prep","HO","Houston","2014-2015","2013-2014","Houston"
"55",1,18,"UC","University Credit Year 1","TE","Terrace","2014-2015","2013-2014","Terrace"
"56",1,18,"UC","University Credit Year 1","TE","Terrace","2014-2015","2013-2014","Kitimat"
"57",1,18,"UC","University Credit Year 1","TE","Terrace","2014-2015","2013-2014","Terrace"
"58",1,18,"ECEB","Early Childhood Education - Basic Level","TE","Terrace","2014-2015","2013-2014","Terrace"
"59",1,18,"UC","University Credit Year 1","TE","Terrace","2014-2015","2013-2014","Terrace"
"60",1,18,"UC","University Credit Year 1","TE","Terrace","2014-2015","2013-2014","Terrace"
"61",1,19,"CCP","Career and College Prep","TE","Terrace","2014-2015","2013-2014","Terrace"
"62",1,18,"UC","University Credit Year 1","TE","Terrace","2014-2015","2013-2014","Terrace"
"63",1,18,"UC","University Credit Year 1","TE","Terrace","2014-2015","2013-2014","Terrace"
"64",1,18,"UC","University Credit Year 1","TE","Terrace","2014-2015","2013-2014","Terrace"
"65",1,18,"CCP","Career and College Prep","HO","Houston","2014-2015","2013-2014","Houston"
"66",1,17,"CCP","Career and College Prep","HO","Houston","2014-2015","2013-2014","Houston"
"67",1,19,"UC","University Credit Year 1","SM","Smithers","2014-2015","2013-2014","Smithers"
"68",1,18,"CCP","Career and College Prep","HO","Houston","2014-2015","2013-2014","Houston"
"69",1,17,"CCP","Career and College Prep","HO","Houston","2014-2015","2013-2014","Topley"
"70",1,18,"CCP","Career and College Prep","HO","Houston","2014-2015","2013-2014","Topley"
"71",1,18,"ABT","Applied Business Technology","SM","Smithers","2014-2015","2013-2014","Prince Rupert"
"72",1,18,"CCP","Career and College Prep","HO","Houston","2014-2015","2013-2014","Houston"
"73",1,19,"CE","Continuing Education","SM","Smithers","2014-2015","2013-2014","Smithers"
"74",1,18,"UC","University Credit Year 1","TE","Terrace","2014-2015","2013-2014","Terrace"
"75",1,18,"UC","University Credit Year 1","TE","Terrace","2014-2015","2013-2014","Terrace"
"76",1,19,"UC","University Credit Year 1","TE","Terrace","2014-2015","2013-2014","Terrace"
"77",1,16,"CCP","Career and College Prep","HO","Houston","2014-2015","2013-2014","Houston"
"78",1,16,"CCP","Career and College Prep","HO","Houston","2014-2015","2013-2014","Houston"
"79",1,17,"CCP","Career and College Prep","HA","Hazelton","2014-2015","2013-2014","Hazelton"
"80",1,17,"CCP","Career and College Prep","HO","Houston","2014-2015","2013-2014","Houston"
"81",1,18,"CCP","Career and College Prep","PR","Prince Rupert","2014-2015","2013-2014","Port Edward"
"82",1,18,"UC","University Credit Year 1","PR","Prince Rupert","2014-2015","2013-2014","Prince Rupert"
"83",1,18,"UC","University Credit Year 1","TE","Terrace","2014-2015","2013-2014","New Aiyansh"
"84",1,19,"SSW2","Social Service Worker","TE","Terrace","2014-2015","2013-2014","Terrace"
"85",1,19,"UC","University Credit Year 1","PR","Prince Rupert","2014-2015","2013-2014","Gitsegukla"
"86",1,19,"UC","University Credit Year 1","PR","Prince Rupert","2014-2015","2013-2014","Prince Rupert"
"87",1,18,"UC","University Credit Year 1","PR","Prince Rupert","2014-2015","2013-2014","Prince Rupert"
"88",1,18,"UC","University Credit Year 1","PR","Prince Rupert","2014-2015","2013-2014","Prince Rupert"
"89",1,17,"UC","University Credit Year 1","PR","Prince Rupert","2014-2015","2013-2014","Prince Rupert"
"90",1,17,"CCP","Career and College Prep","PR","Prince Rupert","2014-2015","2013-2014","Prince Rupert"
"91",1,18,"UC","University Credit Year 1","SM","Smithers","2014-2015","2013-2014","Smithers"
"92",1,18,"UC","University Credit Year 1","TE","Terrace","2014-2015","2013-2014","Terrace"
"93",1,18,"UC","University Credit Year 1","TE","Terrace","2014-2015","2013-2014","Terrace"
"94",1,18,"UC","University Credit Year 1","TE","Terrace","2014-2015","2013-2014","Kitimat"
"95",1,18,"UC","University Credit Year 1","TE","Terrace","2014-2015","2013-2014","Kitimat"
"96",1,18,"UC","University Credit Year 1","TE","Terrace","2014-2015","2013-2014","Terrace"
"97",1,17,"CCP","Career and College Prep","HO","Houston","2014-2015","2013-2014","Topley"
"98",1,16,"CE","Continuing Education","HO","Houston","2014-2015","2013-2014","Topley"
"99",1,17,"CCP","Career and College Prep","HO","Houston","2014-2015","2013-2014","Houston"
"100",1,16,"CCP","Career and College Prep","HO","Houston","2014-2015","2013-2014","Houston"
"101",1,19,"CCP","Career and College Prep","HO","Houston","2014-2015","2013-2014","Houston"
"102",1,17,"CCP","Career and College Prep","HO","Houston","2014-2015","2013-2014","Granisle"
"103",1,17,"ACCARPF","ACE-IT Carpentry Foundation","TE","Terrace","2014-2015","2013-2014","Terrace"
"104",1,16,"ACCARPF","ACE-IT Carpentry Foundation","TE","Terrace","2014-2015","2013-2014","Kitimat"
"105",1,19,"NURS","Nursing","TE","Terrace","2014-2015","2013-2014","Terrace"
"106",1,17,"CCP","Career and College Prep","HO","Houston","2014-2015","2013-2014","Houston"
"107",1,17,"CCP","Career and College Prep","HO","Houston","2014-2015","2013-2014","Houston"
"108",1,18,"CE","Continuing Education","MA","Masset","2014-2015","2013-2014","Masset"
"109",1,19,"CE","Continuing Education","KI","Kitimat","2014-2015","2013-2014","Prince George"
"110",1,18,"CE","Continuing Education","HO","Houston","2014-2015","2013-2014","Houston"
"111",1,19,"UC","University Credit Year 1","PR","Prince Rupert","2014-2015","2013-2014","Prince Rupert"
"112",1,18,"UC","University Credit Year 1","TE","Terrace","2014-2015","2013-2014","Terrace"
"113",1,17,"ACMILLF","ACE-IT Millwright Foundation","HO","Houston","2014-2015","2013-2014","Houston"
"114",1,16,"ACMILLF","ACE-IT Millwright Foundation","HO","Houston","2014-2015","2013-2014","Houston"
"115",1,19,"UC","University Credit Year 1","TE","Terrace","2014-2015","2013-2014","Terrace"
"116",1,18,"UC","University Credit Year 1","TE","Terrace","2014-2015","2013-2014","Terrace"
"117",1,19,"CE","Continuing Education","MA","Masset","2014-2015","2013-2014",NA
"118",1,17,"CE","Continuing Education","MA","Masset","2014-2015","2013-2014",NA
"119",1,17,"ACCARPF","ACE-IT Carpentry Foundation","TE","Terrace","2014-2015","2013-2014","Terrace"
"120",1,16,"CCP","Career and College Prep","HO","Houston","2014-2015","2013-2014","Houston"
"121",1,19,"MILLF","Millwright Foundation","HO","Houston","2014-2015","2013-2014","Houston"
"122",1,16,"ACMILLF","ACE-IT Millwright Foundation","HO","Houston","2014-2015","2013-2014","Houston"
"123",1,16,"CCP","Career and College Prep","HO","Houston","2014-2015","2013-2014","Houston"
"124",1,19,"CCP","Career and College Prep","SM","Smithers","2014-2015","2013-2014","Smithers"
"125",1,18,"UC","University Credit Year 1","TE","Terrace","2014-2015","2013-2014","Terrace"
"126",1,17,"CCP","Career and College Prep","HA","Hazelton","2014-2015","2013-2014","Gitsequkla"
"127",1,18,"ABT","Applied Business Technology","SM","Smithers","2014-2015","2013-2014","Terrace"
"128",1,16,"CCP","Career and College Prep","HO","Houston","2014-2015","2013-2014","Houston"
"129",1,17,"CCP","Career and College Prep","SM","Smithers","2014-2015","2013-2014","Telkwa"
"130",1,18,"HEOF",NA,"TE","Terrace","2014-2015","2013-2014","Kitimat"
"131",1,17,"CCP","Career and College Prep","SM","Smithers","2014-2015","2013-2014","Smithers"
"132",1,19,"CCP","Career and College Prep","SM","Smithers","2014-2015","2013-2014","Smithers"
"133",1,18,"HEOT","Heavy Equipment Operator Technician","TE","Terrace","2014-2015","2013-2014","Kitimat"
"134",1,18,"CCP","Career and College Prep","TE","Terrace","2014-2015","2013-2014","Terrace"
"135",1,19,"WELDF","Welder Foundation","TE","Terrace","2014-2015","2013-2014","Terrace"
"136",1,18,"WELDF","Welder Foundation","TE","Terrace","2014-2015","2013-2014","Kispiox"
"137",1,19,"HEOF",NA,"TE","Terrace","2014-2015","2013-2014","Terrace"
"138",1,19,"MPO","Mineral Processing Operator","HO","Houston","2014-2015","2013-2014","Smithers"
"139",1,17,"CCP","Career and College Prep","HO","Houston","2014-2015","2013-2014","Houston"
"140",1,17,"ACMILLF","ACE-IT Millwright Foundation","HO","Houston","2014-2015","2013-2014","Houston"
"141",1,18,"WELDF","Welder Foundation","TE","Terrace","2014-2015","2013-2014","Kitimat"
"142",1,19,"CCP","Career and College Prep","TE","Terrace","2014-2015","2013-2014","Terrace"
"143",1,19,"CCP","Career and College Prep","TE","Terrace","2014-2015","2013-2014","Terrace"
"144",1,19,"ASE","Adult Special Education","TE","Terrace","2014-2015","2013-2014","Terrace"
"145",1,19,"CCP","Career and College Prep","TE","Terrace","2014-2015","2013-2014","Terrace"
"146",1,19,"CCP","Career and College Prep","TE","Terrace","2014-2015","2013-2014","Terrace"
"147",1,18,"CCP","Career and College Prep","TE","Terrace","2014-2015","2013-2014","Terrace"
"148",1,18,"CCP","Career and College Prep","TE","Terrace","2014-2015","2013-2014","Terrace"
"149",1,18,"CCP","Career and College Prep","TE","Terrace","2014-2015","2013-2014","Terrace"
"150",1,19,"WELDB","Welding B Module","TE","Terrace","2014-2015","2013-2014","Terrace"
"151",1,18,"CCP","Career and College Prep","HO","Houston","2014-2015","2013-2014","Houston"
"152",1,19,"UC","University Credit Year 1","TE","Terrace","2014-2015","2013-2014","Terrace"
"153",1,19,"WELDF","Welder Foundation","PR","Prince Rupert","2014-2015","2013-2014","Prince Rupert"
"154",1,19,"WELDC","Welding C Module","TE","Terrace","2014-2015","2013-2014","Telkwa"
"155",1,19,"WELDC","Welding C Module","TE","Terrace","2014-2015","2013-2014","Terrace"
"156",1,18,"WELDC","Welding C Module","TE","Terrace","2014-2015","2013-2014","Kitimat"
"157",1,19,"UC","University Credit Year 1","TE","Terrace","2014-2015","2013-2014","Terrace"
"158",1,18,"WELDF","Welder Foundation","PR","Prince Rupert","2014-2015","2013-2014","Prince Rupert"
"159",1,18,"WELDF","Welder Foundation","PR","Prince Rupert","2014-2015","2013-2014","Prince Rupert"
"160",1,19,"CE","Continuing Education","HO","Houston","2014-2015","2013-2014","Smithers"
"161",1,19,"ABT","Applied Business Technology","SM","Smithers","2014-2015","2013-2014","Smithers"
"162",1,19,"WELDC","Welding C Module","TE","Terrace","2014-2015","2013-2014","Telkwa"
"163",1,17,"CE","Continuing Education","PR","Prince Rupert","2014-2015","2013-2014","Prince Rupert"
"164",1,19,"WELDF","Welder Foundation","PR","Prince Rupert","2014-2015","2013-2014","Queen Chrltte"
"165",1,16,"CCP","Career and College Prep","SM","Smithers","2014-2015","2013-2014","Smithers"
"166",1,19,"CCP","Career and College Prep","TE","Terrace","2014-2015","2013-2014","Terrace"
"167",1,18,"UC","University Credit Year 1","TE","Terrace","2014-2015","2013-2014","New Aiyansh"
"168",1,19,"WELDC","Welding C Module","TE","Terrace","2014-2015","2013-2014","Kitimat"
"169",1,19,"UC","University Credit Year 1","TE","Terrace","2014-2015","2013-2014","Prince Rupert"
"170",1,18,"CCP","Career and College Prep","HO","Houston","2014-2015","2013-2014","Houston"
"171",1,19,"CCP","Career and College Prep","TE","Terrace","2014-2015","2013-2014","Kitimat"
"172",1,18,"UC2","University Credit Year 2","TE","Terrace","2014-2015","2013-2014","Terrace"
"173",1,18,"HEOT","Heavy Equipment Operator Technician","TE","Terrace","2014-2015","2013-2014","Prince Rupert"
"174",1,18,"UC","University Credit Year 1","TE","Terrace","2014-2015","2013-2014","Telkwa"
"175",1,19,"NURS","Nursing","TE","Terrace","2014-2015","2013-2014","Prince Rupert"
"176",1,18,"UC","University Credit Year 1","TE","Terrace","2014-2015","2013-2014","Terrace"
"177",1,19,"CE","Continuing Education","TE","Terrace","2014-2015","2013-2014","Prince Rupert"
"178",1,18,"CCP","Career and College Prep","PR","Prince Rupert","2014-2015","2013-2014","Prince Rupert"
"179",1,19,"CCP","Career and College Prep","PR","Prince Rupert","2014-2015","2013-2014","Prince Rupert"
"180",1,18,"CCP","Career and College Prep","TE","Terrace","2014-2015","2013-2014","Terrace"
"181",1,16,"CE","Continuing Education","MA","Masset","2014-2015","2013-2014","Masset"
"182",1,17,"CE","Continuing Education","MA","Masset","2014-2015","2013-2014","Masset"
"183",1,17,"CE","Continuing Education","MA","Masset","2014-2015","2013-2014","Masset"
"184",1,16,"CE","Continuing Education","MA","Masset","2014-2015","2013-2014","Masset"
"185",1,17,"CE","Continuing Education","MA","Masset","2014-2015","2013-2014","Masset"
"186",1,16,"CE","Continuing Education","MA","Masset","2014-2015","2013-2014","Masset"
"187",1,16,"CE","Continuing Education","SM","Smithers","2014-2015","2013-2014","Smithers"
"188",1,19,"CE","Continuing Education","KI","Kitimat","2014-2015","2013-2014","Kitimat"
"189",1,17,"CCP","Career and College Prep","HO","Houston","2014-2015","2013-2014","Houston"
"190",1,17,"CCP","Career and College Prep","HO","Houston","2014-2015","2013-2014","Houston"
"191",1,16,"CE","Continuing Education","MA","Masset","2014-2015","2013-2014","Masset"
"192",1,16,"CE","Continuing Education","MA","Masset","2014-2015","2013-2014","Masset"
"193",1,19,"UC","University Credit Year 1","TE","Terrace","2014-2015","2013-2014","Terrace"
"194",1,19,"CCP","Career and College Prep","TE","Terrace","2014-2015","2013-2014","Kitimat"
"195",1,18,"CE","Continuing Education","PR","Prince Rupert","2014-2015","2013-2014","Port Edward"
"196",1,18,"WELDF","Welder Foundation","TE","Terrace","2014-2015","2013-2014","Kitimat"
"197",1,19,"CCP","Career and College Prep","TE","Terrace","2014-2015","2013-2014","Iskut"
"198",1,18,"CE","Continuing Education","PR","Prince Rupert","2014-2015","2013-2014","Prince Rupert"
"199",1,18,"CARPF","Carpenter Foundation","TE","Terrace","2014-2015","2013-2014","Terrace"
"200",1,19,"CE","Continuing Education","TE","Terrace","2014-2015","2013-2014","Terrace"
"201",1,19,"CARPF","Carpenter Foundation","TE","Terrace","2014-2015","2013-2014","Terrace"
"202",1,19,"CE","Continuing Education","TE","Terrace","2014-2015","2013-2014","Terrace"
"203",1,19,"CCP","Career and College Prep","HA","Hazelton","2014-2015","2013-2014","Hazelton"
"204",1,18,"CCP","Career and College Prep","HO","Houston","2014-2015","2013-2014","Houston"
"205",1,19,"CCP","Career and College Prep","HO","Houston","2014-2015","2013-2014","Houston"
"206",1,18,"CE","Continuing Education","HA","Hazelton","2014-2015","2013-2014","New Hazelton"
"207",1,19,"CARPF","Carpenter Foundation","TE","Terrace","2014-2015","2013-2014","Terrace"
"208",1,19,"CE","Continuing Education","KI","Kitimat","2014-2015","2013-2014","Kitimat"
"209",1,19,"ELTRF","Electrical Foundation","HO","Houston","2014-2015","2013-2014","Telkwa"
"210",1,19,"BADM","Business Administration Year 1","PR","Prince Rupert","2014-2015","2013-2014","Prince Rupert"
